Store_ID,Product_Category,Units_Sold,Price_Per_Unit,Total_Sales,Date,Customer_Age,Customer_Gender,Store_Location
101,Electronics,50,300,15000,2024-01-15,25,M,Bangalore
102,Clothing,30,50,1500,2024-01-16,34,F,Delhi
103,Groceries,100,10,1000,2024-01-17,45,M,Mumbai
101,Furniture,20,500,10000,2024-01-18,29,F,Bangalore
104,Electronics,40,280,11200,2024-01-19,31,M,Chennai
105,Clothing,60,45,2700,2024-01-20,27,F,Kolkata
106,Groceries,150,8,1200,2024-01-21,38,M,Hyderabad
107,Furniture,15,600,9000,2024-01-22,50,F,Pune
108,Electronics,30,320,9600,2024-01-23,22,M,Ahmedabad
109,Clothing,40,55,2200,2024-01-24,36,F,Jaipur
110,Groceries,200,9,1800,2024-01-25,41,M,Surat
101,Furniture,25,480,12000,2024-01-26,33,F,Bangalore
102,Electronics,35,310,10850,2024-01-27,28,M,Delhi
103,Clothing,70,40,2800,2024-01-28,30,F,Mumbai
104,Groceries,180,7,1260,2024-01-29,42,M,Chennai
105,Furniture,10,700,7000,2024-01-30,37,F,Kolkata
106,Electronics,55,290,15950,2024-01-31,24,M,Hyderabad
107,Clothing,25,60,1500,2024-02-01,35,F,Pune
108,Groceries,90,11,990,2024-02-02,47,M,Ahmedabad
109,Furniture,18,550,9900,2024-02-03,26,F,Jaipur
110,Electronics,45,305,13725,2024-02-04,29,M,Surat
